tahun,provinsi,kabupaten_kota,timbulan_harian_ton,timbulan_tahunan_ton,pengurangan_ton,pct_pengurangan,penanganan_ton,pct_penanganan,terkelola_ton,pct_terkelola,daur_ulang_ton,bahan_baku_ton,recycling_rate,periode,komposisi_makanan_pct,komposisi_kayu_pct,komposisi_kertas_pct,komposisi_plastik_pct,komposisi_logam_pct,komposisi_kain_pct,komposisi_karet_pct,komposisi_kaca_pct,komposisi_lainnya_pct,gap_tidak_tertangani_ton,kategori_pengelolaan
2024,Kepulauan Bangka Belitung,Kab. Bangka Selatan,86.43,31547.53,47.1,0.15,21475.95,68.07,21523.05,68.22,21.9,6145.95,19.55,P 2,20,15,15,25,10,4,8,1,2,10023.9,Cukup (60-80%)
2024,Kepulauan Bangka Belitung,Kab. Bangka Tengah,113.73,41510.84,1.28,0,7903.01,19.04,7904.29,19.04,0,7903.01,19.04,P 2,41.9,8.5,3.8,14.3,3.9,4.9,,5.5,17.2,33607.16,Sangat Kurang (<30%)
2024,Kepulauan Bangka Belitung,Kab. Bangka Barat,85.77,31306.49,0.75,0,7125.9,22.76,7126.64,22.76,0,555.9,1.78,P 2,40,6,24,17,1.1,1.5,3.5,2.6,4.3,24179.41,Sangat Kurang (<30%)
2024,Kepulauan Bangka Belitung,Kab. Belitung Timur,52.85,19289.67,0,0,13011.88,67.46,13011.88,67.46,0,2192.38,11.37,P 2,57,,5,17,2,2,2,1,14,6278.37,Cukup (60-80%)
2024,Kepulauan Riau,Kab. Bintan,57.15,20858.45,404.05,1.94,1493.17,7.16,1897.23,9.1,309.7,1493.17,8.64,P 2,49.98,9.23,6.4,13.48,11.04,2.1,1.06,3.31,3.4,18962.52,Sangat Kurang (<30%)
2024,Kepulauan Riau,Kab. Karimun,184.34,67284.39,2.34,0,30565.67,45.43,30568.01,45.43,0,7826.17,11.63,P 2,40.8,11.5,11,19.2,3.4,2.7,2.3,2.5,6.6,36716.09,Kurang (30-60%)
2024,Kepulauan Riau,Kab. Natuna,33.61,12266.48,0,0,1620.75,13.21,1620.75,13.21,0,1620.75,13.21,P 2,,,,,,,,,,10646.9,Sangat Kurang (<30%)
2024,Kepulauan Riau,Kab. Lingga,30.59,11166.81,8.5,0.08,1944.12,17.41,1952.62,17.49,0,1944.12,17.41,P 2,36.5,15.4,15,17.8,2.5,6.1,3,3.2,0.5,9212.73,Sangat Kurang (<30%)
2024,Kepulauan Riau,Kota Tanjung Pinang,155.97,56930.51,12.34,0.02,46939.91,82.45,46952.25,82.47,12.34,14838.16,26.09,P 2,59.05,0.22,9.72,28.11,0.32,0.1,1.05,1.43,,9976.8,Baik (>80%)
2024,DKI Jakarta,Kota Adm. Jakarta Pusat,855.4,312221.09,88.37,0.03,307387.58,98.45,307475.95,98.48,88.37,60819.72,19.51,P 2,,,,,,,,,,4745.05,Baik (>80%)
2024,DKI Jakarta,Kota Adm. Jakarta Utara,1396.42,509694.5,95.03,0.02,100632.55,19.74,100727.57,19.76,95.03,100632.55,19.76,P 2,,,,,,,,,,408965.73,Sangat Kurang (<30%)
2024,DKI Jakarta,Kota Adm. Jakarta Selatan,1988.19,725690.82,58.82,0.01,713952.82,98.38,714011.65,98.39,58.82,192178.02,26.49,P 2,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,11677.7,Baik (>80%)
2024,DKI Jakarta,Kota Adm. Jakarta Timur,2353.55,859045.05,24526.8,2.86,815274.24,94.9,839801.04,97.76,21698.52,200249.24,25.84,P 2,,,,,,,,,,19244.71,Baik (>80%)
2024,Jawa Barat,Kab. Cianjur,1267.5,462637.87,0,0,3370.23,0.73,3370.23,0.73,0,3370.23,0.73,P 2,61.05,1.04,6.94,14.39,0.26,2.1,0.5,1.48,12.24,459267.27,Sangat Kurang (<30%)
